arm	family	repeat	position	task	solved	seconds	requests	toolcalls	prompt	completion	hit	miss
AN	f3-agent-surface	1	1	t1	1	15	8	9	32406	1257	28544	3862
AN	f3-agent-surface	1	2	t2	1	9	6	6	20897	599	17408	3489
AN	f3-agent-surface	1	3	t3	1	18	7	10	29962	1736	26240	3722
AN	f3-agent-surface	1	4	t4	1	13	6	7	24533	1262	20736	3797
AN	f3-agent-surface	1	5	t5	1	16	7	9	27956	1302	24192	3764
B	f3-agent-surface	1	1	t1	1	11	6	6	21778	970	18304	3474
B	f3-agent-surface	1	2	t2	1	15	7	8	27883	1217	24064	3819
B	f3-agent-surface	1	3	t3	1	17	7	9	26631	1091	22912	3719
B	f3-agent-surface	1	4	t4	1	17	7	8	29384	1612	25728	3656
B	f3-agent-surface	1	5	t5	1	21	9	13	40977	1870	36864	4113
AN	f3-agent-surface	2	1	t1	1	18	8	8	33318	1833	29824	3494
AN	f3-agent-surface	2	2	t2	1	18	8	9	33006	1312	29312	3694
AN	f3-agent-surface	2	3	t3	1	26	8	10	37964	2625	34304	3660
AN	f3-agent-surface	2	4	t4	1	13	6	7	23854	1125	20224	3630
AN	f3-agent-surface	2	5	t5	1	22	7	10	32276	2146	28416	3860
B	f3-agent-surface	2	1	t1	1	10	5	5	17466	886	14208	3258
B	f3-agent-surface	2	2	t2	1	10	6	6	21085	748	17664	3421
B	f3-agent-surface	2	3	t3	1	16	8	10	32046	1411	28416	3630
B	f3-agent-surface	2	4	t4	1	14	6	7	24038	1313	20224	3814
B	f3-agent-surface	2	5	t5	1	23	9	12	39919	1779	35712	4207
AN	f3-agent-surface	3	1	t1	1	13	6	6	22299	1125	19200	3099
AN	f3-agent-surface	3	2	t2	1	12	6	6	21837	998	18560	3277
AN	f3-agent-surface	3	3	t3	1	20	8	11	35349	1854	31616	3733
AN	f3-agent-surface	3	4	t4	1	19	9	10	40530	1721	36736	3794
AN	f3-agent-surface	3	5	t5	1	19	8	14	38761	1826	34432	4329
B	f3-agent-surface	3	1	t1	1	15	8	12	33971	1290	30080	3891
B	f3-agent-surface	3	2	t2	1	10	6	6	21490	803	17920	3570
B	f3-agent-surface	3	3	t3	1	15	7	10	27467	1277	23936	3531
B	f3-agent-surface	3	4	t4	1	15	7	9	28053	1164	24192	3861
B	f3-agent-surface	3	5	t5	1	20	8	12	37088	1943	33152	3936
AN	f1-paren-balance	1	1	t1	1	7	5	6	17552	471	14080	3472
AN	f1-paren-balance	1	2	t2	1	9	6	7	21816	784	18304	3512
AN	f1-paren-balance	1	3	t3	1	9	5	6	18346	766	14976	3370
AN	f1-paren-balance	1	4	t4	1	7	5	6	17818	583	14464	3354
AN	f1-paren-balance	1	5	t5	1	8	4	4	14057	790	11136	2921
B	f1-paren-balance	1	1	t1	1	8	4	3	12581	352	9600	2981
B	f1-paren-balance	1	2	t2	1	6	4	4	12679	375	9728	2951
B	f1-paren-balance	1	3	t3	1	8	5	6	18090	738	14464	3626
B	f1-paren-balance	1	4	t4	1	6	4	4	12680	409	9728	2952
B	f1-paren-balance	1	5	t5	1	7	4	3	13637	559	10496	3141
AN	f1-paren-balance	2	1	t1	1	7	5	6	17580	563	14080	3500
AN	f1-paren-balance	2	2	t2	1	7	5	6	17644	509	14336	3308
AN	f1-paren-balance	2	3	t3	1	11	5	6	18556	921	15104	3452
AN	f1-paren-balance	2	4	t4	1	6	4	4	12798	456	9856	2942
AN	f1-paren-balance	2	5	t5	1	10	5	6	19358	767	15616	3742
B	f1-paren-balance	2	1	t1	1	6	4	3	12577	335	9600	2977
B	f1-paren-balance	2	2	t2	1	5	4	3	12591	365	9600	2991
B	f1-paren-balance	2	3	t3	1	9	5	6	18352	828	14720	3632
B	f1-paren-balance	2	4	t4	1	7	5	5	16386	643	13312	3074
B	f1-paren-balance	2	5	t5	1	9	5	6	19307	782	15488	3819
